gene_symbol,Pld1
parameter_name,Body weight
mouse_life_stage,Early adult
analysis_id,4nfy6032i8po2v7
mouse_strain,C57BL
gene_accession_id,MGI:109585
pvalue,0.1483428
parameter_id,M-G-P_009_001_003
