gene_symbol,Galk2
analysis_id,1j5mtihr05a49tw
gene_accession_id,MGI:1917226
parameter_id,IMPC_FEA_107_001
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.05236993
