analysis_id,43761c598ut3qi9
mouse_strain,C57BL
pvalue,0.2624562
parameter_id,IMPC_CBC_003_001
gene_symbol,Tbl1xr1
mouse_life_stage,Early adult
parameter_name,Chloride
gene_accession_id,MGI:2441730
