gene_symbol,Amigo1
analysis_id,0hbk93c67c82ahj
parameter_id,IMPC_CBC_008_001
gene_accession_id,MGI:2653612
pvalue,0.237505
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Total bilirubin
