gene_symbol,Toporsl
parameter_id,ESLIM_004_001_701
mouse_strain,C57BL
analysis_id,c5t7b9j1p60jsxp
gene_accession_id,MGI:1915524
mouse_life_stage,Early adult
pvalue,0.2347192
parameter_name,Glucose response AUC
