parameter_name,Mean corpuscular hemoglobin
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2666089
gene_accession_id,MGI:108072
analysis_id,zmisj65k2zn868f
parameter_id,IMPC_HEM_006_001
gene_symbol,Traf6
