parameter_id,HMGULA_SHI_009_001
mouse_life_stage,Late adult
analysis_id,58g6xp5r833on3w
parameter_name,Startle response
gene_symbol,Frmpd1
mouse_strain,C57BL
pvalue,0.6177813
gene_accession_id,MGI:2446274
