gene_symbol,Ift74
mouse_strain,C57BL
gene_accession_id,MGI:1914944
mouse_life_stage,Early adult
parameter_name,Center permanence time
analysis_id,f5pp0fc26r5d838
pvalue,0.272583
parameter_id,IMPC_OFD_016_001
