analysis_id,yu71ql642175c1r
pvalue,0.3924825
parameter_name,Total NK cells - % of CD45+
mouse_life_stage,Late adult
parameter_id,MGP_MLN_031_001
gene_accession_id,MGI:2446186
mouse_strain,C57BL
gene_symbol,Lpgat1
