analysis_id,ozz3526oc95r5h0
mouse_strain,C57BL
gene_symbol,Cldn19
parameter_id,MGP_CSD_030_001
gene_accession_id,MGI:3033992
mouse_life_stage,Early adult
parameter_name,Limb coat/hair presence
pvalue,0.2949968
