analysis_id,6bz2c300p6vkwe0
gene_accession_id,MGI:1914050
mouse_life_stage,Early adult
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.4581946
parameter_id,MGP_MLN_006_001
gene_symbol,Trp53rkb
mouse_strain,C57BL
