parameter_name,Right total retinal thickness
gene_symbol,Abo
gene_accession_id,MGI:2135738
pvalue,0.1959644
parameter_id,IMPC_EYE_062_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,fqu69b4n3o55y7t
