gene_symbol,Rhbg
mouse_strain,C57BL
parameter_id,UCDLA_EYE_017_001
analysis_id,582d4v99b4ex1t2
gene_accession_id,MGI:1927379
mouse_life_stage,Early adult
pvalue,0.06482949
parameter_name,Lens Opacity
