analysis_id,4l5qd4i8ep30spn
gene_symbol,Zcchc2
pvalue,0.1050548
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2444114
parameter_id,JAX_OFD_021_001
parameter_name,Number of rears - total
