parameter_name,Forebrain
mouse_life_stage,E9.5
analysis_id,12va57987gi1o5t
gene_symbol,Ints7
mouse_strain,C57BL
gene_accession_id,MGI:1924315
pvalue,0.4079241
parameter_id,IMPC_GEL_028_001
