analysis_id,v6br465bbr446nr
parameter_id,IMPC_CBC_058_001
mouse_strain,C57BL
gene_symbol,Frmpd1
parameter_name,Cholesterol ratio
mouse_life_stage,Early adult
gene_accession_id,MGI:2446274
pvalue,0.6766403
