parameter_name,DN CD44+CD62L+ NKT cells
analysis_id,lq0we8533z1p5tw
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_IMM_047_001
gene_symbol,Trdmt1
pvalue,0.562054
gene_accession_id,MGI:1274787
