parameter_name,Others
analysis_id,7uj8a8bkjnz71e2
gene_accession_id,MGI:1914309
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_006_001
mouse_strain,C57BL
pvalue,0.1025757
gene_symbol,Ola1
