gene_symbol,Lime1
gene_accession_id,MGI:1919949
pvalue,0.8616692
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_life_stage,Early adult
analysis_id,96733537qcx984r
mouse_strain,C57BL
parameter_id,MGP_IMM_022_001
