parameter_name,Hemoglobin
gene_accession_id,MGI:2140475
analysis_id,uh7s9dmn9hoqmz0
parameter_id,IMPC_HEM_003_001
mouse_strain,C57BL
pvalue,0.3505738
gene_symbol,AU040320
mouse_life_stage,Late adult
