gene_symbol,Rigi
parameter_id,MGP_MLN_074_001
analysis_id,p714x7zue33bn72
gene_accession_id,MGI:2442858
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5384587
