mouse_strain,C57BL
mouse_life_stage,E15.5
analysis_id,2b4h0qy1nnh0432
pvalue,0.1247849
parameter_id,IMPC_IMM_004_001
gene_accession_id,MGI:96646
gene_symbol,Jun
parameter_name,NKT cells (panel A)
