analysis_id,29ff490l16x19dh
gene_symbol,Casq1
gene_accession_id,MGI:1309468
mouse_strain,C57BL
pvalue,0.3121434
parameter_name,Red blood cell count
parameter_id,IMPC_HEM_002_001
mouse_life_stage,Early adult
