mouse_strain,129SV
parameter_name,IgD+ mature B cell percentage
gene_accession_id,MGI:2684980
pvalue,0.7780223
mouse_life_stage,Early adult
parameter_id,MGP_PBI_015_001
analysis_id,npk05g9xutgjsee
gene_symbol,Mms22l
