parameter_id,JAX_OFD_015_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1919137
parameter_name,Center resting time
pvalue,0.7618229
gene_symbol,Ppm1j
mouse_strain,C57BL
analysis_id,40b073qkj9662jx
