parameter_name,Retinal Blood Vessels
pvalue,0.9232248
gene_accession_id,MGI:105073
mouse_life_stage,Early adult
gene_symbol,Tnni1
mouse_strain,C57BL
parameter_id,IMPC_EYE_024_001
analysis_id,yp20jl5tvmbj3af
