analysis_id,1f18r03ku1x4dkb
parameter_name,Breath rate during sleep mean
gene_symbol,Cldn19
gene_accession_id,MGI:3033992
pvalue,0.5161428
mouse_life_stage,Early adult
parameter_id,JAX_SLW_013_001
mouse_strain,C57BL
