analysis_id,l1tl6l23nbjo3wd
parameter_id,IMPC_OFD_009_001
pvalue,0.1249656
mouse_strain,C58BL
mouse_life_stage,Early adult
gene_symbol,NPBWR1
parameter_name,Whole arena average speed
gene_accession_id,MGI:891989
