analysis_id,3mvpu27a9k99107
pvalue,0.861141
parameter_id,UCD_OWT_003_001
mouse_strain,C57BL
parameter_name,Spleen weight
mouse_life_stage,Early adult
gene_symbol,Atrn
gene_accession_id,MGI:1341628
