gene_symbol,Inpp1
mouse_strain,C57BL
gene_accession_id,MGI:104848
parameter_name,Red blood cell count
parameter_id,ESLIM_016_001_002
pvalue,0.8990869
mouse_life_stage,Early adult
analysis_id,d1uzb6um5n5186p
