analysis_id,nf658lb73g9c9sy
pvalue,0.6109422
parameter_name,LDL-cholesterol
mouse_strain,C57BL
gene_symbol,Ntmt2
parameter_id,IMPC_CBC_025_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2685053
