analysis_id,e7z4z5ugw63p6lu
pvalue,0.931047
gene_accession_id,MGI:96757
gene_symbol,Lcn2
parameter_name,Monocytes
parameter_id,IMPC_IMM_051_001
mouse_strain,C57BL
mouse_life_stage,Early adult
