analysis_id,31g8va0n96vv705
gene_symbol,Arpc5l
pvalue,0.3102261
mouse_strain,C57BL
parameter_id,IMPC_ECG_005_001
parameter_name,PQ
gene_accession_id,MGI:1921442
mouse_life_stage,Early adult
