parameter_name,Eyelid morphology
gene_accession_id,MGI:1921262
gene_symbol,Rap2b
mouse_life_stage,Early adult
analysis_id,fd91ne8f51pq185
mouse_strain,C57BL
pvalue,0.6668163
parameter_id,IMPC_EYE_004_001
