analysis_id,h9wsu6hs9509b74
mouse_life_stage,Early adult
gene_symbol,Npbwr1
parameter_name,Head coat/hair presence
mouse_strain,C57BL
pvalue,0.7304106
parameter_id,MGP_CSD_015_001
gene_accession_id,MGI:891989
