analysis_id,7l7mk358ay0r2qu
mouse_life_stage,E12.5
parameter_id,MGP_IMM_110_001
mouse_strain,C57BL
gene_symbol,Hspa5
pvalue,0.6845252
gene_accession_id,MGI:95835
parameter_name,Transitional 1 B cells - % of CD45+
