analysis_id,qre8ho4334i74j2
parameter_id,IMPC_EYE_008_001
mouse_strain,C57BL
parameter_name,Corneal opacity
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
pvalue,0.2130332
mouse_life_stage,Late adult
