parameter_name,Head morphology
analysis_id,l42k7423479ul8n
gene_symbol,Trpa1
mouse_life_stage,Early adult
pvalue,0.293321
parameter_id,MGP_CSD_064_001
mouse_strain,C57BL
gene_accession_id,MGI:3522699
