parameter_name,CD8 CD44-CD62L+ T cells
parameter_id,IMPC_IMM_034_001
gene_accession_id,MGI:894679
analysis_id,yju25n9fu29u340
gene_symbol,Bach2
pvalue,3.636619e-08
mouse_life_stage,Early adult
mouse_strain,C57BL
