gene_symbol,Toporsl
parameter_name,Calcium
mouse_life_stage,Early adult
analysis_id,s32r22y22378994
pvalue,0.4837566
parameter_id,IMPC_CBC_009_001
mouse_strain,C57BL
gene_accession_id,MGI:1915524
