parameter_name,Gait
pvalue,0.6352635
gene_symbol,Rab13
mouse_life_stage,Early adult
analysis_id,34bl53t5fnf605q
parameter_id,IMPC_CSD_033_001
mouse_strain,C57BL
gene_accession_id,MGI:1927232
