analysis_id,8z181ye37ok5biz
parameter_name,Weight
pvalue,0.8916929
gene_accession_id,MGI:99605
parameter_id,CCP_LFO_001_001
gene_symbol,Cntfr
mouse_strain,129SV
mouse_life_stage,Early adult
