parameter_name,Retina (combined)
gene_accession_id,MGI:1274787
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_092_002
pvalue,0.5023489
gene_symbol,Trdmt1
analysis_id,ic494531tigx6tp
mouse_strain,C57BL
