analysis_id,y68lkd14e8o9lt6
gene_symbol,Nemp2
pvalue,0.635449
parameter_id,MGP_MLN_013_001
mouse_strain,C57BL
gene_accession_id,MGI:2444113
parameter_name,Effector CD8+ T cells - % of CD8+
mouse_life_stage,Early adult
