parameter_id,JAXLA_CBC_015_001
mouse_strain,129SV
analysis_id,75c1nu53n2haox4
gene_accession_id,MGI:1920638
parameter_name,Total cholesterol
mouse_life_stage,Early adult
pvalue,0.7589291
gene_symbol,Bpifa3
