gene_symbol,Tnfsf8
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
mouse_life_stage,Early adult
gene_accession_id,MGI:88328
parameter_id,IMPC_FEA_106_001
pvalue,0.8270584
mouse_strain,C57BL
analysis_id,a5mdo724216g560
