parameter_name,Haemoglobin
analysis_id,7vbwxf6242j7nbv
gene_accession_id,MGI:99605
gene_symbol,Cntfr
parameter_id,ESLIM_016_001_003
pvalue,0.4358562
mouse_life_stage,Early adult
mouse_strain,129SV
