analysis_id,4o6nim6o75e9715
parameter_id,JAX_OFD_009_001
mouse_life_stage,Early adult
gene_symbol,Ufc1
mouse_strain,C50BL
gene_accession_id,MGI:1913405
pvalue,0.7265089
parameter_name,Whole arena average speed
