mouse_life_stage,E18.5
analysis_id,vwm291z78gq47o9
gene_accession_id,MGI:2446186
mouse_strain,C51BL
gene_symbol,Lpgat1
pvalue,0.7021541
parameter_name,Initial response to glucose challenge
parameter_id,IMPC_IPG_011_001
