gene_symbol,Mms22l
gene_accession_id,MGI:2684980
parameter_id,MGP_IMM_073_001
mouse_strain,129SV
pvalue,0.3777922
parameter_name,Effector CD4+ T helper cells - % of CD45+
analysis_id,tpllk5x95hntqwh
mouse_life_stage,Early adult
