parameter_id,IMPC_HWT_008_001
gene_accession_id,MGI:1346344
parameter_name,Heart weight
analysis_id,26a797969z8gw92
pvalue,0.8786976
gene_symbol,Nr0b2
mouse_strain,B6J
mouse_life_stage,Early adult
