analysis_id,568fw9rrrwg4zry
parameter_id,IMPC_CSD_008_001
pvalue,0.3158619
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_name,Coat - color pattern - back
gene_accession_id,MGI:1934811
gene_symbol,Nucks1
