analysis_id,2p9izc85ovb5mf6
pvalue,0.1221167
gene_symbol,Slc30a4
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1345282
parameter_id,IMPC_OWT_004_001
mouse_strain,C57BL
parameter_name,Right kidney weight
