parameter_name,Glucose
mouse_life_stage,E9.5
pvalue,0.0675931
gene_accession_id,MGI:1914071
mouse_strain,C57BL
analysis_id,ly0l96d5o33d619
parameter_id,HMGULA_CBC_018_001
gene_symbol,Bcs1l
