gene_symbol,F2
mouse_life_stage,Early adult
gene_accession_id,MGI:88380
pvalue,0.09962717
parameter_id,HRWLLA_OFD_017_001
mouse_strain,C57BL
parameter_name,Center average speed
analysis_id,5o88osi503ol9g1
