gene_symbol,Tatdn3
gene_accession_id,MGI:1916222
analysis_id,52m26kvb9v57i9i
parameter_id,TCPLA_CSD_030_001
mouse_strain,C57BL
pvalue,0.7243799
mouse_life_stage,Early adult
parameter_name,Tremor
