parameter_name,center - resting time
mouse_life_stage,Early adult
parameter_id,M-G-P_007_001_011
gene_symbol,Sema6c
pvalue,0.8364114
gene_accession_id,MGI:1338032
mouse_strain,C57BL
analysis_id,5897j52qwo14b42
