analysis_id,sr1j7q0497z17uy
mouse_strain,C59BL
pvalue,0.7399753
parameter_name,Liver weight
gene_symbol,Trdmt1
mouse_life_stage,Early adult
gene_accession_id,MGI:1274787
parameter_id,UCD_OWT_008_001
