analysis_id,9q2skqpw6ut0ifw
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_014_001
gene_symbol,Tbl1xr1
parameter_name,Alkaline phosphatase
mouse_strain,C53BL
gene_accession_id,MGI:2441730
pvalue,0.907175
