analysis_id,w526t820ty13sto
mouse_life_stage,Early adult
gene_accession_id,MGI:1919949
parameter_id,IMPC_GEL_028_001
gene_symbol,Lime1
parameter_name,Forebrain
mouse_strain,C57BL
pvalue,0.4750323
