parameter_name,Mean platelet volume
mouse_life_stage,Late adult
analysis_id,xb3thl3395un135
gene_accession_id,MGI:1345282
parameter_id,IMPC_HEM_019_001
pvalue,0.254949
mouse_strain,C57BL
gene_symbol,Slc30a4
