parameter_name,Activity (body position)
gene_symbol,Mms22l
mouse_strain,129SV
parameter_id,IMPC_CSD_029_001
pvalue,0.4964398
gene_accession_id,MGI:2684980
mouse_life_stage,Early adult
analysis_id,1iiw9z6785119wc
