analysis_id,d5u88c4s3h78u6c
mouse_life_stage,Early adult
parameter_id,HRWLLA_GRS_010_001
mouse_strain,C57BL
pvalue,0.3773475
gene_symbol,Cmpk1
parameter_name,Forelimb grip strength normalised against body weight
gene_accession_id,MGI:1913838
