parameter_id,HMGULA_SHI_009_001
gene_symbol,Inpp1
pvalue,0.1557347
parameter_name,Startle response
analysis_id,4g51228fxtw299w
mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
